B.Tech Branch,Job Role Category,Students Selected,Average CTC (LPA),Highest CTC (LPA)
Computer Science Engineering,Software Development Engineer (SDE),55,21.00,60.30
Computer Science Engineering,Data & Business Analyst,11,18.50,36.80
Computer Science Engineering,R&D / Product Management,4,24.00,24.00
Information Technology,Software Development Engineer (SDE),63,18.26,60.30
Information Technology,Data & Business Analyst,12,16.00,29.00
Information Technology,R&D / Technical Trainee,2,17.00,17.00
Electronics & Communication,Software Development Engineer (SDE),24,18.00,60.30
Electronics & Communication,Core / Hardware / Embedded,18,16.41,35.00
Electronics & Communication,Data Analyst & Finance,8,12.50,18.00
Electrical Engineering,Core Electrical Engineer,62,9.68,35.00
Electrical Engineering,Software & IT Roles,16,12.00,21.60
Electrical Engineering,Analytics & Consulting,10,11.20,16.20
Mechanical Engineering,Core Mechanical Engineer,60,10.46,20.88
Mechanical Engineering,R&D Engineer,5,22.30,22.30
Mechanical Engineering,Software & Analytics,11,11.50,16.70
Chemical Engineering,Core Process Engineer,42,9.24,19.20
Chemical Engineering,Analytics & Business Analyst,8,10.50,14.70
Chemical Engineering,Management Trainee / Operations,5,8.00,12.00
Civil Engineering,Core Civil Engineer,48,7.84,16.70
Civil Engineering,Analytics & Tech Roles,9,9.50,14.00
Mining Engineering,Core Mining Engineer / Operations,45,10.71,25.00
Mining Engineering,Analytics & Non-Core,10,9.00,12.00
Metallurgical & Materials,Core Metallurgy Engineer,55,9.37,22.00
Metallurgical & Materials,Analytics & Management Trainee,13,9.00,14.20
