Job Role,Industry Sector,Total Students Selected
Software Development Engineer (SDE) / SE,IT / Software / Tech,312
Data Analyst / Business Analyst / Analyst,Data Analytics / Consulting,184
Core Engineer / GET,Core Engineering,178
Consultant / DA + BTSA,Consulting / Advisory,51
Finance / Quantitative / Software Dev (SD),Financial Services / Fintech,38
R&D Engineer,Research & Development,16
Educator / Academic Trainer,Education,11
Technical Trainee / Trainee,Engineering / Technical Services,8
Operations Specialist,Operations / E-Commerce,7
Product Manager,Product Management,2
Services / Technical Support Engineer,IT Services,1
Geologist / Mining Engineer,Mining & Minerals,1
Architect / Jr. Architect,Architecture & Urban Planning,1
